Name,Type événement,Date,Date seule,Heure de début,Date de fin,Heure de fin,Durée Evènement,Après-midi / Matin / Journée,Campus,Zone de vacances scolaires,Nb inscrits,Genre (from Inscription),Genre_Inscription_nettoye,Nb présents,Genre (from Présence),Genre_Presence_nettoye,Nb_hommes_presents,Nb_femmes_presents,Nb_non_specifie,🎯 Taux de Participation,🎯 Taux de transformation,Nb présents avec PI signé
JPO_Bordeaux_19/03/2025,JPO,19/3/2025 13:30,19/03/2025,13:30,19/3/2025 17:00,17:00,03:30,Après-midi,BDX,Zone A,15,"femme,homme,homme,homme,femme,femme,homme,homme,homme,homme,homme,homme,homme,homme,homme","femme,homme,homme,homme,femme,femme,homme,homme,homme,homme,homme,homme,homme,homme,homme",1,homme,homme,1,0,0,"6,67%",100%,1
JPO_Bordeaux_03/09/2025,JPO,3/9/2025 13:30,03/09/2025,13:30,3/9/2025 16:30,16:30,03:00,Après-midi,BDX,Zone A,9,"homme,femme,homme,homme,homme,femme,homme","homme,femme,homme,homme,homme,femme,homme",3,"femme,femme,homme","femme,femme,homme",1,2,0,"33,33%","66,67%",2
JPO_Bordeaux_07/01/2026,JPO,7/1/2026 13:30,07/01/2026,13:30,7/1/2026 17:00,17:00,03:30,Après-midi,BDX,Zone A,8,"femme,homme,homme,homme,homme,homme,femme","femme,homme,homme,homme,homme,homme,femme",2,"homme,femme","homme,femme",1,1,0,"25,00%",50%,1
JPO_Bordeaux_20/09/2025,JPO,20/9/2025 09:30,20/09/2025,09:30,20/9/2025 12:30,12:30,03:00,Matin,BDX,Zone A,15,"homme,femme,homme,femme,homme,homme,homme,homme,homme,homme,homme,homme,femme","homme,femme,homme,femme,homme,homme,homme,homme,homme,homme,homme,homme,femme",6,"femme,homme,homme,femme,homme,homme","femme,homme,homme,femme,homme,homme",4,2,0,"40,00%",50%,3
JPO_Bordeaux_05/07/2025,JPO,5/7/2025 13:30,05/07/2025,13:30,5/7/2025 17:00,17:00,03:30,Après-midi,BDX,Zone A,8,"femme,homme,homme,femme,homme,homme,homme,homme","femme,homme,homme,femme,homme,homme,homme,homme",2,"femme,homme","femme,homme",1,1,0,"25,00%",50%,1
JPO_Bordeaux_11/01/2025,JPO,11/1/2025 13:30,11/01/2025,13:30,11/1/2025 17:00,17:00,03:30,Après-midi,BDX,Zone A,9,"homme,homme,homme,homme,homme,femme,homme,homme,homme","homme,homme,homme,homme,homme,femme,homme,homme,homme",2,"homme,homme","homme,homme",2,0,0,"22,22%",50%,1
JPO_Bordeaux_22/01/2025,JPO,22/1/2025 13:30,22/01/2025,13:30,22/1/2025 17:00,17:00,03:30,Après-midi,BDX,Zone A,7,"femme,homme,homme,homme,homme","femme,homme,homme,homme,homme",5,"homme,homme,homme","homme,homme,homme",3,0,0,"71,43%",40%,2
JPO_Bordeaux_09/04/2025,JPO,9/4/2025 13:30,09/04/2025,13:30,9/4/2025 17:00,17:00,03:30,Après-midi,BDX,Zone A,8,"femme,homme,homme,homme,homme,femme,homme,homme","femme,homme,homme,homme,homme,femme,homme,homme",4,"femme,homme,homme,homme","femme,homme,homme,homme",3,1,0,"50,00%",25%,1
JPO_Bordeaux_07/03/2026,JPO,7/3/2026 09:30,07/03/2026,09:30,7/3/2026 13:00,13:00,03:30,Matin,BDX,Zone A,16,"homme,homme,homme,homme,homme,femme,femme,homme,homme,homme,homme,homme,homme,homme,femme,homme","homme,homme,homme,homme,homme,femme,femme,homme,homme,homme,homme,homme,homme,homme,femme,homme",3,"homme,homme,femme","homme,homme,femme",2,1,0,"18,75%",0%,0
JPO_Bordeaux_17/01/2026,JPO,17/1/2026 09:30,17/01/2026,09:30,17/1/2026 13:00,13:00,03:30,Matin,BDX,Zone A,12,"homme,femme,homme,homme,homme,homme,homme,homme,homme,homme,homme,homme","homme,femme,homme,homme,homme,homme,homme,homme,homme,homme,homme,homme",3,"homme,homme,homme","homme,homme,homme",3,0,0,"25,00%",0%,0
