Name,Type événement,Date,Date de fin,Campus,Nb inscrits,Genre (from Inscription),Nb présents,Genre (from Présence),🎯 Taux de Participation,🎯 Taux de transformation,Nb présents avec PI signé
JPO_Bordeaux_19/03/2025,JPO,19/3/2025 13:30,19/3/2025 17:00,BDX,15,"femme,homme,homme,homme,femme,femme,homme,homme,homme,homme,homme,homme,homme,homme,homme",1,homme,6.67%,100%,1
JPO_Bordeaux_03/09/2025,JPO,3/9/2025 13:30,3/9/2025 16:30,BDX,9,"homme,femme,homme,homme,homme,femme,homme",3,"femme,femme,homme",33.33%,66.67%,2
JPO_Bordeaux_07/01/2026,JPO,7/1/2026 13:30,7/1/2026 17:00,BDX,8,"femme,homme,homme,homme,homme,homme,femme",2,"homme,femme",25%,50%,1
JPO_Bordeaux_20/09/2025,JPO,20/9/2025 09:30,20/9/2025 12:30,BDX,15,"homme,femme,homme,femme,homme,homme,homme,homme,homme,homme,homme,homme,femme",6,"femme,homme,homme,femme,homme,homme",40%,50%,3
JPO_Bordeaux_05/07/2025,JPO,5/7/2025 13:30,5/7/2025 17:00,BDX,8,"femme,homme,homme,femme,homme,homme,homme,homme",2,"femme,homme",25%,50%,1
JPO_Bordeaux_11/01/2025,JPO,11/1/2025 13:30,11/1/2025 17:00,BDX,9,"homme,homme,homme,homme,homme,femme,homme,homme,homme",2,"homme,homme",22.22%,50%,1
JPO_Bordeaux_22/01/2025,JPO,22/1/2025 13:30,22/1/2025 17:00,BDX,7,"femme,homme,homme,homme,homme",5,"homme,homme,homme",71.43%,40%,2
JPO_Bordeaux_09/04/2025,JPO,9/4/2025 13:30,9/4/2025 17:00,BDX,8,"femme,homme,homme,homme,homme,femme,homme,homme",4,"femme,homme,homme,homme",50%,25%,1
JPO_Bordeaux_07/03/2026,JPO,7/3/2026 09:30,7/3/2026 13:00,BDX,16,"homme,homme,homme,homme,homme,femme,femme,homme,homme,homme,homme,homme,homme,homme,femme,homme",3,"homme,homme,femme",18.75%,0%,0
JPO_Bordeaux_17/01/2026,JPO,17/1/2026 09:30,17/1/2026 13:00,BDX,12,"homme,femme,homme,homme,homme,homme,homme,homme,homme,homme,homme,homme",3,"homme,homme,homme",25%,0%,0
JPO_Bordeaux_10/12/2025,JPO,10/12/2025 13:30,10/12/2025 16:30,BDX,16,"homme,femme,femme,homme,homme,homme,homme,homme,femme,homme,homme,homme,homme,homme,femme",1,homme,6.25%,0%,0
JPO_Bordeaux_24/05/2025,JPO,24/5/2025 13:30,24/5/2025 17:00,BDX,6,"homme,homme,femme,homme,homme,homme",0,,0%,0%,0
JPO_Bordeaux_14/05/2025,JPO,14/5/2025 13:30,14/5/2025 17:00,BDX,6,"homme,homme,homme,homme,homme,homme",1,homme,16.67%,0%,0
JPO_Bordeaux_26/04/2025,JPO,26/4/2025 13:30,26/4/2025 17:00,BDX,14,"homme,homme,homme,homme,femme,homme,homme,homme,homme,homme,homme,homme,homme",2,homme,14.29%,0%,0
JPO_Caussade_22/03/2025,JPO,22/3/2025 09:00,22/3/2025 12:30,CSD,4,"homme,homme,homme,homme",5,"homme,homme,homme,homme,homme",125%,60%,3
JPO_Caussade_23/04/2025,JPO,23/4/2025 13:30,23/4/2025 16:00,CSD,10,"homme,femme,homme,homme,femme,homme,homme,homme,femme,homme",7,"homme,homme,homme,femme,homme,homme,femme",70%,42.86%,3
JPO_Caussade_03/09/2025,JPO,3/9/2025 13:30,3/9/2025 16:00,CSD,7,"homme,femme,homme,homme,homme,homme",6,"homme,homme,homme,femme,homme",85.71%,33.33%,2
JPO_Caussade_15/01/2025,JPO,15/1/2025 13:30,15/1/2025 16:00,CSD,9,"homme,homme,homme,homme,homme",7,"homme,homme,homme,homme",77.78%,14.29%,1
JPO_Caussade_14/03/2026,JPO,14/3/2026 09:00,14/3/2026 12:30,CSD,0,,0,,0%,0%,0
JPO_Caussade_14/01/2026,JPO,14/1/2026 14:00,14/1/2026 16:00,CSD,4,"femme,homme,homme,homme",4,"homme,homme,femme,homme",100%,0%,0
JPO_Caussade_10/12/2025,JPO,10/12/2025 13:30,10/12/2025 16:00,CSD,1,femme,0,,0%,0%,0
JPO_Dijon_03/09/2025,JPO,3/9/2025 13:30,3/9/2025 16:30,DIJ,6,"homme,homme,homme,homme,homme,homme",3,"homme,homme,homme",50%,100%,3
JPO_Dijon_11/01/2025,JPO,11/1/2025 13:30,11/1/2025 17:00,DIJ,4,"homme,homme,homme",3,"homme,femme,homme",75%,66.67%,2
JPO_Dijon_09/04/2025,JPO,9/4/2025 13:30,9/4/2025 17:00,DIJ,10,"homme,femme,homme,homme,homme,homme,homme,homme,homme,femme",2,"homme,homme",20%,50%,1
JPO_Dijon_20/09/2025,JPO,20/9/2025 09:30,20/9/2025 12:30,DIJ,9,"homme,homme,homme,homme,homme,homme,homme,homme,homme",3,"homme,homme,homme",33.33%,33.33%,1
JPO_Dijon_19/03/2025,JPO,19/3/2025 13:30,19/3/2025 17:00,DIJ,19,"femme,femme,femme,homme,homme,homme,homme,homme,homme,homme,homme,homme,femme,homme,femme,homme,femme",10,"homme,homme,homme,homme,homme,femme,homme,homme",52.63%,30%,3
JPO_Dijon_22/01/2025,JPO,22/1/2025 13:30,22/1/2025 17:00,DIJ,6,"homme,homme,femme,homme,homme,homme",5,"homme,homme,homme,homme,femme",83.33%,20%,1
