month,total_evenements,total_inscrits,total_presents,total_convertis,taux_presence,taux_transformation_presents,taux_conversion_global
2025-01,22,169,86,26,50.89,30.23,15.38
2025-03,11,145,55,17,37.93,30.91,11.72
2025-04,21,282,117,29,41.49,24.79,10.28
2025-05,20,146,73,27,50.0,36.99,18.49
2025-07,21,113,34,7,30.09,20.59,6.19
2025-08,21,17,15,8,88.24,53.33,47.06
2025-09,34,312,120,61,38.46,50.83,19.55
2025-12,12,194,40,8,20.62,20.0,4.12
2026-01,22,224,73,17,32.59,23.29,7.59
2026-02,1,0,5,0,,0.0,
2026-03,12,116,34,4,29.31,11.76,3.45
