Campus,total_evenements,total_inscrits,total_presents,total_convertis,taux_presence,taux_transformation_presents,taux_conversion_global
MCN,2,19,11,6,57.89,54.55,31.58
RDZ,7,34,19,9,55.88,47.37,26.47
CSD,7,35,29,9,82.86,31.03,25.71
SNS,7,48,33,12,68.75,36.36,25.0
LVA,22,48,32,12,66.67,37.5,25.0
THO,22,126,66,18,52.38,27.27,14.29
TLS,17,259,112,32,43.24,28.57,12.36
RNS,23,119,59,14,49.58,23.73,11.76
FRJ,14,87,31,10,35.63,32.26,11.49
IDF,18,408,101,46,24.75,45.54,11.27
DIJ,22,134,57,11,42.54,19.3,8.21
BDX,14,149,35,12,23.49,34.29,8.05
HDF,22,252,67,13,26.59,19.4,5.16
